Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (128),fear,0.6956521739130435,0.6417112299465241,0.6675938803894298,374.0
MFCC CNN (128),happiness,0.6976190476190476,0.7436548223350253,0.7199017199017199,394.0
MFCC CNN (128),neutral,0.71900826446281,0.7331460674157303,0.7260083449235049,356.0
MFCC CNN (128),sadness,0.6296296296296297,0.7044198895027625,0.6649282920469362,362.0
MFCC CNN (128),surprise,0.940677966101695,0.8809523809523809,0.9098360655737705,126.0
MFCC CNN (128),accuracy,0.7330827067669173,0.7330827067669173,0.7330827067669173,0.7330827067669173
MFCC CNN (128),macro avg,0.7555260942754131,0.7472991337773477,0.7505584820623261,2394.0
MFCC CNN (128),weighted avg,0.7365902743927675,0.7330827067669173,0.7339999689635323,2394.0
MFCC CRNN (128),anger,0.8753894080996885,0.7553763440860215,0.810966810966811,372.0
MFCC CRNN (128),disgust,0.7551020408163265,0.6317073170731707,0.6879150066401063,410.0
MFCC CRNN (128),fear,0.5226480836236934,0.8021390374331551,0.6329113924050633,374.0
MFCC CRNN (128),happiness,0.6592039800995025,0.6725888324873096,0.6658291457286433,394.0
MFCC CRNN (128),neutral,0.81640625,0.5870786516853933,0.6830065359477124,356.0
MFCC CRNN (128),sadness,0.6259946949602122,0.6519337016574586,0.638700947225981,362.0
MFCC CRNN (128),surprise,0.8677685950413223,0.8333333333333334,0.8502024291497976,126.0
MFCC CRNN (128),accuracy,0.691311612364244,0.691311612364244,0.691311612364244,0.691311612364244
MFCC CRNN (128),macro avg,0.7317875789486779,0.7048796025365488,0.7099331811520164,2394.0
MFCC CRNN (128),weighted avg,0.7172192963797187,0.691311612364244,0.695177914095548,2394.0
MFCC CNN (192),anger,0.8266666666666667,0.8333333333333334,0.8299866131191432,372.0
MFCC CNN (192),disgust,0.7604166666666666,0.7121951219512195,0.7355163727959698,410.0
MFCC CNN (192),fear,0.7079646017699115,0.6417112299465241,0.6732117812061711,374.0
MFCC CNN (192),happiness,0.7073170731707317,0.7360406091370558,0.7213930348258707,394.0
MFCC CNN (192),neutral,0.7329545454545454,0.7247191011235955,0.7288135593220338,356.0
MFCC CNN (192),sadness,0.6357142857142857,0.7375690607734806,0.6828644501278772,362.0
MFCC CNN (192),surprise,0.9649122807017544,0.873015873015873,0.9166666666666666,126.0
MFCC CNN (192),accuracy,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381
MFCC CNN (192),macro avg,0.7622780171635088,0.7512263327544402,0.7554932111519619,2394.0
MFCC CNN (192),weighted avg,0.7416006091075017,0.7380952380952381,0.7387140154068946,2394.0
MFCC CRNN (192),anger,0.837465564738292,0.8172043010752689,0.8272108843537415,372.0
MFCC CRNN (192),disgust,0.7401574803149606,0.6878048780487804,0.7130214917825537,410.0
MFCC CRNN (192),fear,0.6886792452830188,0.5855614973262032,0.6329479768786127,374.0
MFCC CRNN (192),happiness,0.6748166259168704,0.700507614213198,0.6874221668742216,394.0
MFCC CRNN (192),neutral,0.6768447837150128,0.7471910112359551,0.7102803738317757,356.0
MFCC CRNN (192),sadness,0.6228710462287105,0.7071823204419889,0.6623544631306598,362.0
MFCC CRNN (192),surprise,0.8823529411764706,0.8333333333333334,0.8571428571428571,126.0
MFCC CRNN (192),accuracy,0.7134502923976608,0.7134502923976608,0.7134502923976608,0.7134502923976608
MFCC CRNN (192),macro avg,0.731883955339048,0.7255407079535325,0.7271971734277746,2394.0
MFCC CRNN (192),weighted avg,0.7168162396342721,0.7134502923976608,0.7135590085417269,2394.0
MFCC CNN (255),anger,0.8467966573816156,0.8172043010752689,0.8317373461012312,372.0
MFCC CNN (255),disgust,0.7319587628865979,0.6926829268292682,0.7117794486215538,410.0
MFCC CNN (255),fear,0.6978851963746223,0.6176470588235294,0.6553191489361702,374.0
MFCC CNN (255),happiness,0.7122641509433962,0.766497461928934,0.7383863080684596,394.0
MFCC CNN (255),neutral,0.7203166226912929,0.7668539325842697,0.7428571428571429,356.0
