Model,Class/Metric,precision,recall,f1-score,support
MFCC CNN (96),accuracy,0.7314118629908104,0.7314118629908104,0.7314118629908104,0.7314118629908104
MFCC CNN (96),macro avg,0.7455678652181501,0.7481121581680569,0.7459808522918073,2394.0
MFCC CNN (96),weighted avg,0.7322817374090642,0.7314118629908104,0.7309172099209096,2394.0
MFCC CRNN (96),anger,0.7941952506596306,0.8091397849462365,0.8015978695073236,372.0
MFCC CRNN (96),disgust,0.7741935483870968,0.5853658536585366,0.6666666666666666,410.0
MFCC CRNN (96),fear,0.5378787878787878,0.7593582887700535,0.6297117516629712,374.0
MFCC CRNN (96),happiness,0.627906976744186,0.6852791878172588,0.6553398058252428,394.0
MFCC CRNN (96),neutral,0.7861842105263158,0.6713483146067416,0.7242424242424242,356.0
MFCC CRNN (96),sadness,0.6717791411042945,0.6049723756906077,0.6366279069767442,362.0
MFCC CRNN (96),surprise,0.9145299145299145,0.8492063492063492,0.8806584362139918,126.0
MFCC CRNN (96),accuracy,0.6934001670843776,0.6934001670843776,0.6934001670843776,0.6934001670843776
MFCC CRNN (96),macro avg,0.7295239756900324,0.709238593527969,0.7135492658707664,2394.0
MFCC CRNN (96),weighted avg,0.7099909777969343,0.6934001670843776,0.6952783574461161,2394.0
MFCC CNN (128),anger,0.8143236074270557,0.8252688172043011,0.8197596795727636,372.0
MFCC CNN (128),disgust,0.7724719101123596,0.6707317073170732,0.7180156657963447,410.0
MFCC CNN (128),fear,0.698170731707317,0.6122994652406417,0.6524216524216524,374.0
MFCC CNN (128),happiness,0.7373737373737373,0.7411167512690355,0.739240506329114,394.0
MFCC CNN (128),neutral,0.7340425531914894,0.7752808988764045,0.7540983606557377,356.0
MFCC CNN (128),sadness,0.6349206349206349,0.7734806629834254,0.6973848069738481,362.0
MFCC CNN (128),surprise,0.925,0.8809523809523809,0.9024390243902439,126.0
MFCC CNN (128),accuracy,0.7393483709273183,0.7393483709273183,0.7393483709273183,0.7393483709273183
MFCC CNN (128),macro avg,0.7594718821046562,0.7541615262633231,0.7547656708771006,2394.0
MFCC CNN (128),weighted avg,0.7431050083835261,0.7393483709273183,0.7390238575054656,2394.0
MFCC CRNN (128),anger,0.8119891008174387,0.8010752688172043,0.8064952638700947,372.0
MFCC CRNN (128),disgust,0.7309644670050761,0.7024390243902439,0.7164179104477612,410.0
MFCC CRNN (128),fear,0.6607669616519174,0.5989304812834224,0.6283309957924264,374.0
MFCC CRNN (128),happiness,0.7231182795698925,0.682741116751269,0.7023498694516971,394.0
MFCC CRNN (128),neutral,0.6731707317073171,0.7752808988764045,0.720626631853786,356.0
MFCC CRNN (128),sadness,0.6265356265356266,0.7044198895027625,0.6631989596879063,362.0
MFCC CRNN (128),surprise,0.9523809523809523,0.7936507936507936,0.8658008658008658,126.0
MFCC CRNN (128),accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
MFCC CRNN (128),macro avg,0.7398465885240315,0.7226482104674429,0.729031499557791,2394.0
MFCC CRNN (128),weighted avg,0.7185653717954156,0.7142857142857143,0.7147791294367053,2394.0
MFCC CNN (192),anger,0.8461538461538461,0.8279569892473119,0.8369565217391305,372.0
MFCC CNN (192),disgust,0.7454545454545455,0.7,0.7220125786163522,410.0
MFCC CNN (192),fear,0.6985074626865672,0.6256684491978609,0.6600846262341326,374.0
MFCC CNN (192),happiness,0.7189873417721518,0.7208121827411168,0.7198986058301647,394.0
MFCC CNN (192),neutral,0.7065217391304348,0.7303370786516854,0.7182320441988951,356.0
MFCC CNN (192),sadness,0.6112412177985949,0.7209944751381215,0.6615969581749049,362.0
MFCC CNN (192),surprise,0.925,0.8809523809523809,0.9024390243902439,126.0
MFCC CNN (192),accuracy,0.72890559732665,0.72890559732665,0.72890559732665,0.72890559732665
MFCC CNN (192),macro avg,0.7502665932851629,0.7438173651326397,0.7458886227405462,2394.0
MFCC CNN (192),weighted avg,0.7327775514127505,0.72890559732665,0.7296494185027588,2394.0
MFCC CRNN (192),anger,0.8356940509915014,0.793010752688172,0.8137931034482758,372.0
MFCC CRNN (192),disgust,0.6909090909090909,0.6487804878048781,0.6691823899371069,410.0
MFCC CRNN (192),fear,0.677710843373494,0.6016042780748663,0.6373937677053825,374.0
MFCC CRNN (192),happiness,0.6739659367396593,0.7030456852791879,0.6881987577639752,394.0
MFCC CRNN (192),neutral,0.7100271002710027,0.7359550561797753,0.7227586206896551,356.0
MFCC CRNN (192),sadness,0.6193853427895981,0.7237569060773481,0.6675159235668789,362.0
MFCC CRNN (192),surprise,0.8677685950413223,0.8333333333333334,0.8502024291497976,126.0
MFCC CRNN (192),accuracy,0.706766917293233,0.706766917293233,0.706766917293233,0.706766917293233
MFCC CRNN (192),macro avg,0.7250658514450955,0.7199266427767944,0.7212921417515817,2394.0
MFCC CRNN (192),weighted avg,0.7098927875940669,0.706766917293233,0.7070592035954025,2394.0
MFCC CNN (255),anger,0.839142091152815,0.8413978494623656,0.8402684563758389,372.0
MFCC CNN (255),disgust,0.7268041237113402,0.6878048780487804,0.706766917293233,410.0
MFCC CNN (255),fear,0.6795580110497238,0.6577540106951871,0.6684782608695652,374.0
MFCC CNN (255),happiness,0.7313829787234043,0.6979695431472082,0.7142857142857143,394.0
MFCC CNN (255),neutral,0.7540983606557377,0.7752808988764045,0.7645429362880887,356.0
MFCC CNN (255),sadness,0.636144578313253,0.7292817679558011,0.6795366795366795,362.0
MFCC CNN (255),surprise,0.9649122807017544,0.873015873015873,0.9166666666666666,126.0
MFCC CNN (255),accuracy,0.7376775271512114,0.7376775271512114,0.7376775271512114,0.7376775271512114
MFCC CNN (255),macro avg,0.7617203463297183,0.751786403028803,0.7557922330451123,2394.0
MFCC CNN (255),weighted avg,0.7405148034633985,0.7376775271512114,0.7382887661514888,2394.0
MFCC CRNN (255),anger,0.8163841807909604,0.7768817204301075,0.7961432506887053,372.0
MFCC CRNN (255),disgust,0.7220708446866485,0.6463414634146342,0.6821106821106822,410.0
MFCC CRNN (255),fear,0.6743421052631579,0.5481283422459893,0.6047197640117994,374.0
MFCC CRNN (255),happiness,0.6318181818181818,0.7055837563451777,0.6666666666666666,394.0
MFCC CRNN (255),neutral,0.7026315789473684,0.75,0.7255434782608695,356.0
MFCC CRNN (255),sadness,0.627906976744186,0.7458563535911602,0.6818181818181818,362.0
MFCC CRNN (255),surprise,0.8907563025210085,0.8412698412698413,0.8653061224489796,126.0
MFCC CRNN (255),accuracy,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.7017543859649122
MFCC CRNN (255),macro avg,0.7237014529673589,0.7162944967567014,0.7174725922865549,2394.0
